SAMPLE,SIO2,TIO2,AL2O3,FEOT,MNO,MGO,CAO,NA2O,K2O,P2O5,S,CL,H2O,CO2,FO,FE3FET,FEOTI,VBVOLP,DMI,DHOST,CR,SIO2err,TIO2err,AL2O3err,FEOTerr,MNOerr,MGOerr,CAOerr,NA2Oerr,K2Oerr,P2O5err,Serr,CLerr,H2Oerr,CO2err,FOerr,FE3FETerr,FEOTIerr,VBVOLPerr,DMIerr,DHOSTerr,CRerr
M-129-5,51.89767226,1.268573651,18.40535904,9.212081349,0.147092612,2.952709878,7.879730674,3.381290363,0.867619986,0.250379655,1716.383625,1137.632831,3.893033925,215.7489648,72.981218,0.2,,,51,296,,2.594883613,0.063428683,0.920267952,0.460604067,0.007354631,0.147635494,0.393986534,0.169064518,0.043380999,0.012518983,85.81918125,56.88164155,0.194651696,10.78744824,2,0.01,,,5.1,29.6,
M-129-6,54.91866344,1.256903799,16.00425571,8.221082283,0.214176901,3.584006119,6.611798267,3.573003938,1.06339295,0.287028623,878.33385,1237.082609,3.57291891,59.09864748,73.08340269,0.2,,,66,620,,2.745933172,0.06284519,0.800212786,0.411054114,0.010708845,0.179200306,0.330589913,0.178650197,0.053169648,0.014351431,43.9166925,61.85413045,0.178645946,2.954932374,2,0.01,,,6.6,62,
M-129-8,53.21459179,1.116608079,19.19797736,7.263788588,0.17543497,3.504952353,7.194673964,3.900061268,1.007628247,0.233504983,1458.6639,1144.629414,3.439831599,230.3731104,73.12289779,0.2,,,40,403,,2.66072959,0.055830404,0.959898868,0.363189429,0.008771749,0.175247618,0.359733698,0.195003063,0.050381412,0.011675249,72.933195,57.2314707,0.17199158,11.51865552,2,0.01,,,4,40.3,
M-129-15,54.98985632,1.277112315,16.56302164,8.23293884,0.103301758,2.430694428,7.001852109,4.309023385,0.971137663,0.261727986,934.07625,1284.300871,3.824754867,61.408152,73.10763923,0.2,,,45,437,,2.749492816,0.063855616,0.828151082,0.411646942,0.005165088,0.121534721,0.350092605,0.215451169,0.048556883,0.013086399,46.7038125,64.21504355,0.191237743,3.0704076,2,0.01,,,4.5,43.7,
M-136-2-A,50.11189624,1.21554947,17.84294986,9.295205482,0.202650874,3.33788314,8.033570458,3.223979234,0.789374281,0.250481995,1711.69695,1207.297982,4.253598738,332.4189288,73.41485276,0.2,,,47,549,,2.505594812,0.060777474,0.892147493,0.464760274,0.010132544,0.166894157,0.401678523,0.161198962,0.039468714,0.0125241,85.5848475,60.3648991,0.212679937,16.62094644,2,0.01,,,4.7,54.9,
M-136-5,57.3127145,1.031288382,15.9849173,7.538215608,0.158372227,3.251742584,5.757063182,4.243383444,1.230057725,0.331535003,581.5506,1437.2774,3.433109859,74.14392096,73.37938914,0.2,,,112,486,,2.865635725,0.051564419,0.799245865,0.37691078,0.007918611,0.162587129,0.287853159,0.212169172,0.061502886,0.01657675,29.07753,71.86387,0.171655493,3.707196048,2,0.01,,,11.2,48.6,
M-136-8,52.70725589,1.209832994,18.06855966,7.975892231,0.136934421,2.608008404,7.441699645,3.772835892,0.966683054,0.271643562,1515.253575,1310.737546,3.927657168,310.6332612,72.68020918,0.2,,,52,581,,2.635362795,0.06049165,0.903427983,0.398794612,0.006846721,0.13040042,0.372084982,0.188641795,0.048334153,0.013582178,75.76267875,65.5368773,0.196382858,15.53166306,2,0.01,,,5.2,58.1,
M-136-9,52.00101387,1.212201984,17.00781018,9.204929931,0.186106099,3.478375646,7.976161029,3.739463459,0.84087044,0.203007765,1640.73915,1123.205993,3.815108856,230.5388544,74.29813675,0.2,,,73,520,,2.600050694,0.06062099,0.850390509,0.460246497,0.009305305,0.173918782,0.398808051,0.186973173,0.042043522,0.010150388,82.0369575,56.16029965,0.190755443,11.52694272,2,0.01,,,7.3,52,
M-134D-2,57.30881603,1.078240738,16.89020968,7.311392369,0.13727638,1.97211694,6.654180219,4.097730193,1.191394562,0.307712605,671.580975,1490.439866,2.880645651,138.53436,72.75116139,0.2,,,53,562,,2.865440802,0.053912037,0.844510484,0.365569618,0.006863819,0.098605847,0.332709011,0.20488651,0.059569728,0.01538563,33.57904875,74.5219933,0.144032283,6.926718,2,0.01,,,5.3,56.2,
M-134D-7,55.83645311,0.873096487,17.66081753,7.614602612,0.111971422,1.697209159,7.363842357,4.596949571,0.98164485,0.331830651,1107.027,1336.509257,3.165490377,333.17997,72.0202271,0.2,,,31,917,,2.791822656,0.043654824,0.883040877,0.380730131,0.005598571,0.084860458,0.368192118,0.229847479,0.049082243,0.016591533,55.35135,66.82546285,0.158274519,16.6589985,2,0.01,,,3.1,91.7,
